Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
CTAS,Cintas Corporation,Services,Business Services,USA,8.39,21.36,71.81,0.0007,554016
CTL,"CenturyLink, Inc.",Technology,Telecom Services - Domestic,USA,23.28,28.52,40.95,0.0039,2546147
CTSH,Cognizant Technology Solutions Corporation,Technology,Business Software & Services,USA,32.45,23.27,53.06,-0.0043,3077193
CTXS,"Citrix Systems, Inc.",Technology,Business Software & Services,USA,10.64,40.3,65.73,-0.0054,1595244
CVC,Cablevision Systems Corporation,Services,CATV Systems,USA,5.07,16.7,18.69,0.0081,1975610
CVS,CVS Health Corporation,Healthcare,Health Care Plans,USA,102.18,23.03,90.12,0.0111,4021129
CVX,Chevron Corporation,Basic Materials,Major Integrated Oil & Gas,USA,219.89,10.71,115.75,-0.0049,5646336
D,"Dominion Resources, Inc.",Utilities,Electric Utilities,USA,41.79,27.85,72.16,0.0082,1651627
DAL,"Delta Air Lines, Inc.",Services,Major Airlines,USA,36.62,3.8,43.43,-0.0073,7963925
DD,E. I. du Pont de Nemours and Company,Basic Materials,Agricultural Chemicals,USA,64.14,21.07,70.47,-0.0047,2207740
DE,Deere & Company,Industrial Goods,Farm & Construction Machinery,USA,31.37,9.98,86.81,-0.0081,3966496
DFS,Discover Financial Services,Financial,Credit Services,USA,29.47,12.35,65.24,0.0040,2219677
DG,Dollar General Corporation,Services,"Discount, Variety Stores",USA,19.61,19.65,65.3,0.0101,4804473
DGX,Quest Diagnostics Inc.,Healthcare,Medical Laboratories & Research,USA,9.02,17.93,63.04,0.0101,1321671
DHI,DR Horton Inc.,Industrial Goods,Residential Construction,USA,8.89,16.81,24.49,0.0045,3848997
DHR,Danaher Corp.,Industrial Goods,Diversified Machinery,USA,57.78,21.58,82.37,0.0017,1824191
DIS,The Walt Disney Company,Services,Entertainment - Diversified,USA,155.86,21.31,90.41,-0.0043,4092575
DISCA,"Discovery Communications, Inc.",Services,CATV Systems,USA,14.52,15.89,32.53,-0.0298,3756628
DISCK,"Discovery Communications, Inc.",Services,CATV Systems,USA,22.04,19.12,31.47,-0.0263,4182980
DLPH,Delphi Automotive PLC,Consumer Goods,Auto Parts,United Kingdom,20.93,16.51,70.85,0.0024,854850
DLTR,"Dollar Tree, Inc.",Services,"Discount, Variety Stores",USA,12.76,21.78,61.47,-0.0095,1938794
DNB,Dun & Bradstreet Corp.,Technology,Information & Delivery Services,USA,4.49,16.83,125.42,0.0029,132317
DNR,Denbury Resources Inc.,Basic Materials,Independent Oil & Gas,USA,3.95,10.98,10.01,-0.1062,23378984
DO,"Diamond Offshore Drilling, Inc.",Basic Materials,Oil & Gas Drilling & Exploration,USA,4.91,12.97,36.17,0.0101,1189955
DOV,Dover Corporation,Industrial Goods,Diversified Machinery,USA,13.26,16.34,80.87,0.0082,1170124
DOW,The Dow Chemical Company,Basic Materials,Chemicals - Major Diversified,USA,60.54,17.3,51.12,-0.0049,5742332
DPS,"Dr Pepper Snapple Group, Inc.",Consumer Goods,Beverages - Soft Drinks,USA,13.63,19.64,70.75,0.0093,1256348
DRI,"Darden Restaurants, Inc.",Services,Restaurants,USA,7.42,61.43,55.43,-0.0084,1279527
DTE,DTE Energy Company,Utilities,Electric Utilities,USA,14.14,19.39,81.1,0.0154,1020301
DTV,DIRECTV,Services,CATV Systems,USA,43.97,16.15,86.91,-0.0073,2498135
DUK,Duke Energy Corporation,Utilities,Diversified Utilities,USA,55.95,18.35,80.3,0.0150,2983031
DVA,DaVita HealthCare Partners Inc.,Healthcare,Specialized Health Services,USA,16.26,22.52,75.51,-0.0020,1367075
DVN,Devon Energy Corporation,Basic Materials,Independent Oil & Gas,USA,26.26,11.89,63.85,-0.0051,2836480
EA,Electronic Arts Inc.,Technology,Multimedia & Graphics Software,USA,12.89,37.03,41.4,-0.0017,2288088
EBAY,eBay Inc.,Services,"Specialty Retail, Other",USA,67.54,0,54.83,0.0086,7690720
ECL,Ecolab Inc.,Consumer Goods,Cleaning Products,USA,33.74,29.82,112.19,-0.0020,638787
ED,"Consolidated Edison, Inc.",Utilities,Electric Utilities,USA,18.17,14.66,62.54,0.0082,2383381
EFX,Equifax Inc.,Financial,Credit Services,USA,9.43,28.03,78.13,-0.0009,347444
EIX,Edison International,Utilities,Electric Utilities,USA,20.12,15.52,62.72,0.0155,2482461
EL,Estee Lauder Companies Inc.,Consumer Goods,Personal Products,USA,27.08,24.68,71.12,-0.0029,1586300
EMC,EMC Corporation,Technology,Data Storage Devices,USA,61.15,24.04,30.38,0.0110,17350404
EMN,Eastman Chemical Co.,Basic Materials,Chemicals - Major Diversified,USA,12.5,11.94,83.95,-0.0027,645240
EMR,Emerson Electric Co.,Industrial Goods,Industrial Electrical Equipment,USA,44.4,20.86,63.74,0.0019,2147529
EOG,"EOG Resources, Inc.",Basic Materials,Independent Oil & Gas,USA,53.79,17.65,96.35,-0.0184,4224073
EQR,Equity Residential,Financial,REIT - Residential,USA,25.1,76.11,69.7,0.0064,1574534
EQT,EQT Corporation,Basic Materials,Independent Oil & Gas,USA,14.09,33.57,93.06,0.0006,1476738
ESRX,Express Scripts Holding Company,Healthcare,Health Care Plans,USA,57.15,30.9,79.06,0.0153,3917669
ESS,Essex Property Trust Inc.,Financial,REIT - Residential,USA,12.73,123.65,200.52,0.0073,259314
ESV,Ensco plc,Basic Materials,Oil & Gas Drilling & Exploration,United Kingdom,9.08,17.95,39.48,0.0181,3591302
ETFC,E*TRADE Financial Corporation,Financial,Investment Brokerage - National,USA,6.71,22.09,22.93,-0.0112,1888923
ETN,Eaton Corporation plc,Industrial Goods,Diversified Machinery,USA,31.77,18.91,67.08,0.0021,1629302
ETR,Entergy Corporation,Utilities,Electric Utilities,USA,14.7,15.11,83.27,0.0223,1854346
EW,Edwards Lifesciences Corp.,Healthcare,Medical Appliances & Equipment,USA,13.32,17.29,126.23,0.0139,697395
EXC,Exelon Corporation,Utilities,Diversified Utilities,USA,30.43,14.57,35.71,0.0085,5735536
EXPD,Expeditors International of Washington Inc.,Services,Air Delivery & Freight Services,USA,8.48,24.27,43.87,-0.0011,973596
EXPE,Expedia Inc.,Services,Lodging,USA,11.13,27.4,86.94,-0.0114,1161794
F,Ford Motor Co.,Consumer Goods,Auto Manufacturers - Major,USA,58.27,9.9,15.54,0.0264,46092528
FAST,Fastenal Company,Services,Industrial Equipment Wholesale,USA,13.28,28,44.4,-0.0089,1775985
FB,"Facebook, Inc.",Technology,Internet Information Providers,USA,208.75,71.31,74.24,-0.0085,28618232
FCX,Freeport-McMoRan Inc.,Basic Materials,Copper,USA,29.41,13.16,28.42,0.0042,10112097
FDO,Family Dollar Stores Inc.,Services,"Discount, Variety Stores",USA,8.93,31.45,78.86,0.0069,517319
FDX,FedEx Corporation,Services,Air Delivery & Freight Services,USA,48.59,23.34,171.32,-0.0014,847835
FE,FirstEnergy Corp.,Utilities,Electric Utilities,USA,15.1,22.86,36.36,0.0131,2393346
FFIV,"F5 Networks, Inc.",Technology,Business Software & Services,USA,9.55,31.36,127.86,-0.0079,906004
FIS,"Fidelity National Information Services, Inc.",Technology,Information Technology Services,USA,16.78,30.32,59.46,0.0058,934110
FISV,"Fiserv, Inc.",Services,Business Services,USA,17.1,22.68,70.31,0.0031,956422
FITB,Fifth Third Bancorp,Financial,Regional - Midwest Banks,USA,16.61,12,20.17,0.0002,3603170
FLIR,"FLIR Systems, Inc.",Technology,Scientific & Technical Instruments,USA,4.53,29.5,32.17,0.0003,722131
